the_geom,people_age_082_m,old_population,people_age_100up_f,people_age_100up_m,people_age_099_f,people_age_099_m,people_age_098_f,people_age_098_m,people_age_097_f,people_age_097_m,people_age_096_f,people_age_096_m,people_age_095_f,people_age_095_m,people_age_094_f,people_age_094_m,people_age_093_f,people_age_093_m,people_age_092_f,people_age_092_m,people_age_091_f,people_age_091_m,people_age_090_f,people_age_090_m,people_age_089_f,people_age_089_m,people_age_088_f,people_age_088_m,people_age_087_f,people_age_087_m,people_age_086_f,people_age_086_m,people_age_085_f,people_age_085_m,people_age_084_f,people_age_084_m,people_age_083_f,people_age_083_m,people_age_082_f,cartodb_id,people_age_081_f,people_age_081_m,people_age_080_f,people_age_080_m,people_age_079_f,people_age_079_m,people_age_078_f,people_age_078_m,people_age_077_f,people_age_077_m,people_age_076_f,people_age_076_m,people_age_075_f,people_age_075_m,people_age_074_f,people_age_074_m,people_age_073_f,people_age_073_m,people_age_072_f,people_age_072_m,people_age_071_f,people_age_071_m,people_age_070_f,people_age_070_m,people_age_069_f,people_age_069_m,people_age_068_f,people_age_068_m,people_age_067_f,people_age_067_m,people_age_066_f,people_age_066_m,people_age_065_f,people_age_065_m,people_total_f,people_total_m,people_total,household_no,village,site_id
,4,592,1,0,0,1,0,0,0,1,1,0,1,2,1,3,2,1,0,2,3,3,5,0,3,2,3,4,2,6,8,4,5,3,10,7,5,4,7,27,9,6,9,7,12,5,9,6,6,11,10,5,9,15,14,12,10,8,13,17,19,16,12,11,16,20,19,16,33,29,29,22,29,24,1984,1806,3790,1344,美仁里,松山區
,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,1013,0,0,0,1,0,0,2,1,1,1,0,1,0,2,4,4,2,1,4,4,7,6,3,8,9,11,4,13,6,15,13,9,11,14,11,8,15,2,12,11,16,9,12,13,14,10,17,18,15,20,19,17,19,17,29,25,28,25,31,17,33,18,38,35,38,22,38,35,48,32,46,37,2896,2702,5598,2071,莊敬里,松山區
,15,1523,0,0,0,1,0,1,4,2,3,0,2,5,7,4,1,4,3,4,9,4,12,6,10,4,17,4,7,11,18,10,12,13,12,15,24,13,17,3,25,10,21,13,29,16,30,22,19,14,37,24,28,34,40,30,26,44,50,36,41,28,40,27,38,47,55,46,72,52,64,49,71,71,4463,3869,8332,2975,東榮里,松山區
,12,1417,6,0,2,1,1,2,1,2,2,2,2,2,4,7,3,6,4,7,4,12,9,4,13,15,13,6,16,8,4,14,17,10,11,16,11,15,14,4,19,12,23,18,28,13,24,15,25,22,24,31,38,30,38,25,36,34,43,34,41,27,31,20,56,42,57,50,64,30,46,36,54,53,3876,3294,7170,2922,三民里,松山區
,12,858,0,1,1,0,0,0,2,0,0,1,1,0,4,1,3,1,4,3,2,4,6,7,6,3,9,4,10,8,6,5,9,5,12,6,7,7,8,5,14,5,8,2,10,14,15,6,20,19,19,22,22,12,19,19,21,22,21,20,18,18,25,18,27,25,38,23,36,29,37,23,43,30,2536,2284,4820,1845,新益里,松山區
,4,968,0,0,0,0,0,0,0,0,1,0,0,2,1,2,0,0,4,1,5,4,5,7,6,8,5,10,4,5,5,8,6,4,7,7,12,8,14,6,20,8,19,6,12,14,15,9,18,19,28,17,16,16,20,17,20,21,25,27,16,17,30,17,40,28,41,36,44,31,35,34,63,44,2937,2513,5450,2133,富錦里,松山區
,5,882,0,1,0,0,0,1,1,0,2,0,4,1,1,2,2,0,1,1,2,2,4,5,8,8,6,2,7,3,6,5,7,5,6,5,9,7,18,7,11,5,21,5,11,12,10,18,11,10,20,10,16,17,22,17,17,19,23,15,19,16,17,30,30,27,36,32,40,37,47,36,53,35,2724,2436,5160,1996,新東里,松山區
,12,884,1,0,0,0,0,0,0,0,0,1,1,3,3,3,4,1,4,2,2,7,6,1,5,3,7,9,8,9,7,7,5,5,10,6,9,13,7,8,19,13,15,10,17,13,19,12,12,11,22,14,16,12,18,22,17,14,33,13,25,20,25,22,28,22,38,22,34,24,33,28,46,34,2720,2114,4834,2017,富泰里,松山區
,12,838,0,0,0,0,0,1,1,1,0,1,4,3,2,1,5,1,5,4,3,2,6,5,7,5,5,4,8,5,3,5,7,5,7,8,6,8,5,9,11,8,11,7,17,6,13,22,13,10,19,17,15,20,17,14,25,18,22,26,15,14,21,21,21,29,33,20,39,30,36,31,50,22,2505,2284,4789,1750,介壽里,松山區
